Name,Sex,Age,Height,Weight,NOC,Games,Sport,Event,Year,Season,City,Medal
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,ESP,2016 Summer,Basketball,Basketball Men's Basketball,2016,Summer,Rio de Janeiro,Bronze
Bourhan Abro,M,21.0,180.0,70.0,DJI,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Anastasiya Aleksandrovna Abrosimova,F,26.0,164.0,51.0,RUS,2016 Summer,Triathlon,Triathlon Women's Olympic Distance,2016,Summer,Rio de Janeiro,No Medal
Julien Absalon,M,35.0,180.0,68.0,FRA,2016 Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",2016,Summer,Rio de Janeiro,No Medal
Methkal Marouf Abu Drais,M,32.0,168.0,67.0,JOR,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Ahmad Abughaush,M,20.0,178.0,68.0,JOR,2016 Summer,Taekwondo,Taekwondo Men's Featherweight,2016,Summer,Rio de Janeiro,Gold
Mohammed Abukhousa,M,23.0,170.0,67.0,PLE,2016 Summer,Athletics,Athletics Men's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Kariman Abuljadayel,F,22.0,180.0,70.0,KSA,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Javier Carlos Acevedo,M,18.0,182.0,68.0,CAN,2016 Summer,Swimming,Swimming Men's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Nicole Jocelin Acevedo Tangarife,F,21.0,166.0,70.0,COL,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Sharon Evelin Acevedo Tangarife,F,23.0,170.0,61.0,COL,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Jaouad Achab,M,23.0,175.0,64.0,BEL,2016 Summer,Taekwondo,Taekwondo Men's Featherweight,2016,Summer,Rio de Janeiro,No Medal
Karem Faride Achach Ramrez,F,25.0,169.0,60.0,MEX,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,2016,Summer,Rio de Janeiro,No Medal
Sharath Kamal Achanta,M,34.0,186.0,85.0,IND,2016 Summer,Table Tennis,Table Tennis Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Gemma Acheampong,F,23.0,163.0,54.0,GHA,2016 Summer,Athletics,Athletics Women's 4 x 100 metres Relay,2016,Summer,Rio de Janeiro,No Medal
Natalie Chioma Achonwa,F,23.0,190.0,86.0,CAN,2016 Summer,Basketball,Basketball Women's Basketball,2016,Summer,Rio de Janeiro,No Medal
Chantal Achterberg,F,31.0,172.0,72.0,NED,2016 Summer,Rowing,Rowing Women's Quadruple Sculls,2016,Summer,Rio de Janeiro,Silver
Bryan Josu Acosta Ramos,M,22.0,175.0,74.0,HON,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Julio Csar Acosta Gonzlez,M,29.0,160.0,62.0,CHI,2016 Summer,Weightlifting,Weightlifting Men's Featherweight,2016,Summer,Rio de Janeiro,No Medal
Marcelo Alberto Acosta Jimnez,M,20.0,,,ESA,2016 Summer,Swimming,Swimming Men's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Mara Jos Acosta Acosta,F,24.0,172.0,69.0,VEN,2016 Summer,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Tanya Acosta,F,25.0,182.0,70.0,ARG,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Roberto Acua,M,25.0,208.0,109.0,ARG,2016 Summer,Basketball,Basketball Men's Basketball,2016,Summer,Rio de Janeiro,No Medal
Arslanbek Aylow,M,23.0,177.0,75.0,TKM,2016 Summer,Boxing,Boxing Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Seiya Adachi,M,21.0,172.0,67.0,JPN,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Constantin Adam,M,20.0,202.0,105.0,ROU,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Leonie Adam,F,23.0,162.0,54.0,GER,2016 Summer,Trampolining,Trampolining Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Antoine Xavier Adams,M,27.0,180.0,79.0,SKN,2016 Summer,Athletics,Athletics Men's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Natalie Cammile Adams (-Brannan),F,24.0,173.0,65.0,USA,2016 Summer,Swimming,Swimming Women's 200 metres Butterfly,2016,Summer,Rio de Janeiro,No Medal
Liam Adams,M,29.0,178.0,64.0,AUS,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Mareike Adams,F,26.0,174.0,73.0,GER,2016 Summer,Rowing,Rowing Women's Double Sculls,2016,Summer,Rio de Janeiro,No Medal
Nicola Virginia Adams,F,33.0,164.0,51.0,GBR,2016 Summer,Boxing,Boxing Women's Flyweight,2016,Summer,Rio de Janeiro,Gold
Paul Adams,M,24.0,185.0,98.0,AUS,2016 Summer,Shooting,Shooting Men's Skeet,2016,Summer,Rio de Janeiro,No Medal
Rachael Alexis Adams,F,26.0,188.0,81.0,USA,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,Bronze
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,NZL,2016 Summer,Athletics,Athletics Women's Shot Put,2016,Summer,Rio de Janeiro,Silver
Yasemin Adar,F,24.0,180.0,75.0,TUR,2016 Summer,Wrestling,"Wrestling Women's Heavyweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
"Christopher Thomas ""Chris"" Adcock",M,27.0,183.0,80.0,GBR,2016 Summer,Badminton,Badminton Mixed Doubles,2016,Summer,Rio de Janeiro,No Medal
"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25.0,167.0,,GBR,2016 Summer,Badminton,Badminton Mixed Doubles,2016,Summer,Rio de Janeiro,No Medal
James Adede,M,29.0,162.0,92.0,KEN,2016 Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Oluwakemi 'Kemi' Adekoya,F,23.0,166.0,63.0,BRN,2016 Summer,Athletics,Athletics Women's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Odunayo Folasade Adekuoroye,F,22.0,169.0,53.0,NGR,2016 Summer,Wrestling,"Wrestling Women's Featherweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Abrar Osman Adem,M,22.0,168.0,58.0,ERI,2016 Summer,Athletics,"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Biko Adema,M,28.0,177.0,85.0,KEN,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Aminat Oluwafunmilayo Adeniyi,F,23.0,165.0,58.0,NGR,2016 Summer,Wrestling,"Wrestling Women's Lightweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Adenzia Aparecida Ferreira da Silva,F,29.0,187.0,65.0,BRA,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Nyakisi Adero,F,30.0,,,UGA,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
Haydy Morsy Adil,F,16.0,168.0,58.0,EGY,2016 Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Adiyasambuu Tsolmon,F,23.0,165.0,65.0,MGL,2016 Summer,Judo,Judo Women's Half-Lightweight,2016,Summer,Rio de Janeiro,No Medal
"Bradley Don ""Brad"" Adkins",M,22.0,188.0,80.0,USA,2016 Summer,Athletics,Athletics Men's High Jump,2016,Summer,Rio de Janeiro,No Medal
Aurimas Adomaviius,M,22.0,204.0,100.0,LTU,2016 Summer,Rowing,Rowing Men's Quadruple Sculls,2016,Summer,Rio de Janeiro,No Medal
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,USA,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,Bronze
Vera Adrian,F,22.0,168.0,57.0,NAM,2016 Summer,Cycling,"Cycling Women's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
"Adriana ""Adrianinha"" Moiss Pinto",F,37.0,170.0,65.0,BRA,2016 Summer,Basketball,Basketball Women's Basketball,2016,Summer,Rio de Janeiro,No Medal
Erkin Adylbek uulu,M,25.0,190.0,80.0,KGZ,2016 Summer,Boxing,Boxing Men's Light-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Jasper Aerents,M,23.0,191.0,86.0,BEL,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Brian O'Neill Afanador Prez,M,19.0,175.0,68.0,PUR,2016 Summer,Table Tennis,Table Tennis Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Khairulnizam Mohd Afendy,M,23.0,182.0,70.0,MAS,2016 Summer,Sailing,Sailing Men's One Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Ahmed Afifi,M,28.0,194.0,92.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Evelina Afoa,F,17.0,162.0,60.0,SAM,2016 Summer,Swimming,Swimming Women's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Paixo Afonso,M,25.0,176.0,80.0,ANG,2016 Summer,Sailing,Sailing Men's Two Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Marina Anatolyevna Aframeyeva,F,25.0,171.0,62.0,RUS,2016 Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",2016,Summer,Rio de Janeiro,No Medal
Cecil Sebastian Afrika,M,28.0,175.0,75.0,RSA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,Bronze
Khristos Afroudakis,M,32.0,188.0,88.0,GRE,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,RSA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,Bronze
Luca Agamennoni,M,35.0,187.0,93.0,ITA,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,No Medal
Clarisse Agbegnenou,F,23.0,164.0,66.0,FRA,2016 Summer,Judo,Judo Women's Half-Middleweight,2016,Summer,Rio de Janeiro,Silver
Maia Kristiane Agerup,F,21.0,172.0,,NOR,2016 Summer,Sailing,Sailing Women's Skiff,2016,Summer,Rio de Janeiro,No Medal
Ragna Agerup,F,21.0,168.0,,NOR,2016 Summer,Sailing,Sailing Women's Skiff,2016,Summer,Rio de Janeiro,No Medal
Levon Aghasyan,M,21.0,193.0,75.0,ARM,2016 Summer,Athletics,Athletics Men's Triple Jump,2016,Summer,Rio de Janeiro,No Medal
Yannick Agnel,M,24.0,202.0,90.0,FRA,2016 Summer,Swimming,Swimming Men's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Salvador Jos Milhazes Agra,M,24.0,168.0,70.0,POR,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Renzo Pasquale Zeglio Agresta,M,31.0,181.0,76.0,BRA,2016 Summer,Fencing,"Fencing Men's Sabre, Individual",2016,Summer,Rio de Janeiro,No Medal
Norisbeth Isais Agudo Gonzlez,F,24.0,163.0,55.0,VEN,2016 Summer,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
Alessandra Aguilar Morn,F,38.0,165.0,50.0,ESP,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
Evelis Jazmin Aguilar Torres,F,23.0,173.0,64.0,COL,2016 Summer,Athletics,Athletics Women's Heptathlon,2016,Summer,Rio de Janeiro,No Medal
Felipe Aguilar Mendoza,M,23.0,191.0,72.0,COL,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Felipe Aguilar Schler,M,41.0,170.0,72.0,CHI,2016 Summer,Golf,Golf Men's Individual,2016,Summer,Rio de Janeiro,No Medal
Iaki Aguilar Vicente,M,32.0,189.0,82.0,ESP,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Macarena Aguilar Daz,F,31.0,170.0,67.0,ESP,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,No Medal
Sandra Aguilar Navarro,F,23.0,167.0,50.0,ESP,2016 Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,2016,Summer,Rio de Janeiro,Silver
Yulenmis Aguilar Martnez,F,20.0,165.0,66.0,CUB,2016 Summer,Athletics,Athletics Women's Javelin Throw,2016,Summer,Rio de Janeiro,No Medal
Tomas Alonso Aguilera Armendariz,M,27.0,202.0,95.0,MEX,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Carolina Aguirre Giraldo,F,20.0,160.0,59.0,COL,2016 Summer,Archery,Archery Women's Individual,2016,Summer,Rio de Janeiro,No Medal
rick Germain Aguirre Tafolla,M,19.0,170.0,60.0,MEX,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Gabriela Aguirre,F,30.0,164.0,58.0,ARG,2016 Summer,Hockey,Hockey Women's Hockey,2016,Summer,Rio de Janeiro,No Medal
Marcelo Vctor Aguirre,M,23.0,174.0,66.0,PAR,2016 Summer,Table Tennis,Table Tennis Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Sri Wahyuni Agustiani,F,21.0,147.0,47.0,INA,2016 Summer,Weightlifting,Weightlifting Women's Flyweight,2016,Summer,Rio de Janeiro,Silver
Kelsie Ahbe,F,25.0,170.0,63.0,CAN,2016 Summer,Athletics,Athletics Women's Pole Vault,2016,Summer,Rio de Janeiro,No Medal
Christian Ahlmann,M,41.0,189.0,80.0,GER,2016 Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",2016,Summer,Rio de Janeiro,No Medal
Tontowi Ahmad,M,29.0,179.0,72.0,INA,2016 Summer,Badminton,Badminton Mixed Doubles,2016,Summer,Rio de Janeiro,Gold
Elaheh Ahmadi,F,34.0,160.0,62.0,IRI,2016 Summer,Shooting,"Shooting Women's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Esraa Ahmed El-Sayed,F,17.0,150.0,63.0,EGY,2016 Summer,Weightlifting,Weightlifting Women's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Ghofran Ahmed Zaki,M,23.0,192.0,68.0,EGY,2016 Summer,Taekwondo,Taekwondo Men's Featherweight,2016,Summer,Rio de Janeiro,No Medal
Mohammed Ahmed,M,25.0,182.0,56.0,CAN,2016 Summer,Athletics,"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Samia Mohamed Hagrass Ahmed,F,20.0,170.0,57.0,EGY,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,2016,Summer,Rio de Janeiro,No Medal
Masbah Ahmmed,M,21.0,,,BAN,2016 Summer,Athletics,Athletics Men's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Murielle Ahour,F,28.0,165.0,58.0,CIV,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Gaby Diana Ahrens,F,35.0,169.0,60.0,NAM,2016 Summer,Shooting,Shooting Women's Trap,2016,Summer,Rio de Janeiro,No Medal
Mohammad Ahsan,M,28.0,173.0,72.0,INA,2016 Summer,Badminton,Badminton Men's Doubles,2016,Summer,Rio de Janeiro,No Medal
Nicole Ahsinger,F,18.0,163.0,58.0,USA,2016 Summer,Trampolining,Trampolining Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Michelle-Lee Raquel Ahye,F,24.0,160.0,64.0,TTO,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Ai Yanhan,F,14.0,168.0,54.0,CHN,2016 Summer,Swimming,Swimming Women's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Jrmy Aicardi,M,27.0,178.0,83.0,FRA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Matteo Aicardi,M,30.0,192.0,102.0,ITA,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,Bronze
Vlad-Drago Aicoboae,M,22.0,197.0,91.0,ROU,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Neringa Aidietyt,F,33.0,177.0,60.0,LTU,2016 Summer,Athletics,Athletics Women's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Rosaria Aiello,F,27.0,172.0,74.0,ITA,2016 Summer,Water Polo,Water Polo Women's Water Polo,2016,Summer,Rio de Janeiro,Silver
Hannes Aigner,M,27.0,183.0,75.0,GER,2016 Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
